ds,y,daily_stars,repository
2023-01-01,0.0,0.0,scikit-learn/scikit-learn
2023-01-02,18.940369222659168,18.940369222659168,scikit-learn/scikit-learn
2023-01-03,42.54883468563244,23.608465462973278,scikit-learn/scikit-learn
2023-01-04,71.35923910743318,28.810404421800744,scikit-learn/scikit-learn
2023-01-05,89.75212987203064,18.392890764597453,scikit-learn/scikit-learn
2023-01-06,108.1521074077097,18.399977535679064,scikit-learn/scikit-learn
2023-01-07,131.49366470983105,23.34155730212134,scikit-learn/scikit-learn
2023-01-08,150.98552957397501,19.491864864143956,scikit-learn/scikit-learn
2023-01-09,168.00769563022453,17.022166056249525,scikit-learn/scikit-learn
2023-01-10,191.05393247664463,23.046236846420108,scikit-learn/scikit-learn
2023-01-11,208.12506489268588,17.071132416041245,scikit-learn/scikit-learn
2023-01-12,225.18892627131717,17.063861378631287,scikit-learn/scikit-learn
2023-01-13,246.47203952755154,21.283113256234373,scikit-learn/scikit-learn
2023-01-14,253.23727269528743,6.765233167735898,scikit-learn/scikit-learn
2023-01-15,260.9027894824451,7.665516787157674,scikit-learn/scikit-learn
2023-01-16,277.4171555524156,16.514366069970468,scikit-learn/scikit-learn
2023-01-17,291.25171042400865,13.834554871593095,scikit-learn/scikit-learn
2023-01-18,313.00641093556,21.75470051155135,scikit-learn/scikit-learn
2023-01-19,327.47680402589333,14.470393090333342,scikit-learn/scikit-learn
2023-01-20,338.94281277677584,11.466008750882532,scikit-learn/scikit-learn
2023-01-21,361.86638643865194,22.923573661876116,scikit-learn/scikit-learn
2023-01-22,376.71607348295845,14.849687044306503,scikit-learn/scikit-learn
2023-01-23,397.037872746758,20.321799263799562,scikit-learn/scikit-learn
2023-01-24,408.44692966949805,11.409056922740024,scikit-learn/scikit-learn
2023-01-25,425.1249320270129,16.678002357514856,scikit-learn/scikit-learn
2023-01-26,445.72950518799615,20.60457316098323,scikit-learn/scikit-learn
2023-01-27,458.7898779698065,13.060372781810369,scikit-learn/scikit-learn
2023-01-28,476.5542025896723,17.76432461986576,scikit-learn/scikit-learn
2023-01-29,489.6473573862685,13.093154796596219,scikit-learn/scikit-learn
2023-01-30,507.8710323991236,18.22367501285511,scikit-learn/scikit-learn
2023-01-31,524.2435159756844,16.372483576560903,scikit-learn/scikit-learn
2023-02-01,555.3361983188016,31.092682343117183,scikit-learn/scikit-learn
2023-02-02,575.2493433340244,19.91314501522281,scikit-learn/scikit-learn
2023-02-03,588.904239864756,13.65489653073164,scikit-learn/scikit-learn
2023-02-04,608.8617342539081,19.95749438915214,scikit-learn/scikit-learn
2023-02-05,619.0102562539266,10.148522000018437,scikit-learn/scikit-learn
2023-02-06,640.289486634901,21.279230380974358,scikit-learn/scikit-learn
2023-02-07,648.5447034056937,8.255216770792645,scikit-learn/scikit-learn
2023-02-08,660.5994890970505,12.054785691356914,scikit-learn/scikit-learn
2023-02-09,681.8308023735331,21.231313276482474,scikit-learn/scikit-learn
2023-02-10,706.3287468166528,24.497944443119742,scikit-learn/scikit-learn
2023-02-11,723.2039594115673,16.875212594914498,scikit-learn/scikit-learn
2023-02-12,738.7030685906276,15.499109179060229,scikit-learn/scikit-learn
2023-02-13,756.9672539728023,18.26418538217463,scikit-learn/scikit-learn
2023-02-14,768.1436803588283,11.176426386026032,scikit-learn/scikit-learn
2023-02-15,783.897610549381,15.753930190552788,scikit-learn/scikit-learn
2023-02-16,801.220593273748,17.322982724366963,scikit-learn/scikit-learn
2023-02-17,827.7060707085532,26.485477434805112,scikit-learn/scikit-learn
2023-02-18,845.4578187041171,17.751747995564006,scikit-learn/scikit-learn
2023-02-19,853.0418296743212,7.584010970204071,scikit-learn/scikit-learn
2023-02-20,875.1304066158011,22.08857694147992,scikit-learn/scikit-learn
2023-02-21,892.9428166985408,17.812410082739667,scikit-learn/scikit-learn
2023-02-22,908.9981212354045,16.05530453686368,scikit-learn/scikit-learn
2023-02-23,932.8507522880076,23.852631052603087,scikit-learn/scikit-learn
2023-02-24,959.2487562694312,26.398003981423624,scikit-learn/scikit-learn
2023-02-25,979.8924726833425,20.643716413911285,scikit-learn/scikit-learn
2023-02-26,991.9703281403641,12.07785545702166,scikit-learn/scikit-learn
2023-02-27,1010.2828174408346,18.312489300470478,scikit-learn/scikit-learn
